Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.6e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4833333.333333333,83333.33333333333,1.8e-05,1.8e-05,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,55555.55555555556,27777.777777777777,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,0.00011,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,1581818.1818181816,27272.727272727272,5.5e-05,5.5e-05,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,18181.81818181818,9090.90909090909,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.6e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4833333.333333333,83333.33333333333,1.8e-05,1.8e-05,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,55555.55555555556,27777.777777777777,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.6e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4833333.333333333,83333.33333333333,1.8e-05,1.8e-05,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,55555.55555555556,27777.777777777777,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
5353,17,231.264148,11,0,3140,0,488,107,285.45454545454544,185.1733161791768,0,0,0.0,0.0,13.57754769667108,0.0475646575361088,23.126414800000003,42.19606733211975,123.983856,0.0,231.264148,23.126414800000003,42.19606733211975,123.983856,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,220,0,0.0475646575361088,0.0,107,488,285.45454545454544,185.1733161791768,34289.15702479339,0,0,0,0,0,0,0,0,0.0,285.45454545454544,285.45454545454544,0.0,0,0,0,0,0,0,11,3140,0,0,0,0,11,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4350000.0,75000.0,2e-05,2e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,49999.99999999999,25000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.1e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4243902.439024391,73170.73170731707,2.05e-05,2.05e-05,4.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,48780.487804878045,24390.243902439022,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.6e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4833333.333333333,83333.33333333333,1.8e-05,1.8e-05,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,55555.55555555556,27777.777777777777,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,5.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3000000.0,51724.137931034486,2.9e-05,2.9e-05,5.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,34482.75862068965,17241.379310344826,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,5.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3000000.0,51724.137931034486,2.9e-05,2.9e-05,5.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,34482.75862068965,17241.379310344826,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,5.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3000000.0,51724.137931034486,2.9e-05,2.9e-05,5.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,34482.75862068965,17241.379310344826,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.1e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4243902.439024391,73170.73170731707,2.05e-05,2.05e-05,4.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,48780.487804878045,24390.243902439022,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,6.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,2558823.529411765,44117.64705882353,3.4e-05,3.4e-05,6.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,29411.76470588236,14705.882352941177,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4350000.0,75000.0,2e-05,2e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,49999.99999999999,25000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3954545.454545455,68181.81818181818,2.2e-05,2.2e-05,4.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,45454.545454545456,22727.272727272728,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.6e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4833333.333333333,83333.33333333333,1.8e-05,1.8e-05,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,55555.55555555556,27777.777777777777,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.6e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4833333.333333333,83333.33333333333,1.8e-05,1.8e-05,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,55555.55555555556,27777.777777777777,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4350000.0,75000.0,2e-05,2e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,49999.99999999999,25000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,5e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3480000.0,60000.0,2.5e-05,2.5e-05,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,40000.0,20000.0,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.1e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4243902.439024391,73170.73170731707,2.05e-05,2.05e-05,4.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,48780.487804878045,24390.243902439022,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.2e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4142857.142857143,71428.57142857143,2.1e-05,2.1e-05,4.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,47619.04761904762,23809.52380952381,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.7e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4702702.702702703,81081.08108108108,1.85e-05,1.85e-05,3.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,54054.05405405405,27027.027027027027,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.9e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4461538.461538462,76923.07692307692,1.95e-05,1.95e-05,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,51282.05128205128,25641.02564102564,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,3.8e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,4578947.368421053,78947.36842105263,1.9e-05,1.9e-05,3.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,52631.57894736842,26315.78947368421,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
80,6,4.4e-05,2,1,120,54,60,60,60.0,0.0,54,54,54.0,0.0,3954545.454545455,68181.81818181818,2.2e-05,2.2e-05,4.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,20,45454.545454545456,22727.272727272728,54,60,58.0,2.8284271247461903,8.0,0,2,1,0,1,0,0,0,0.5,58.0,60.0,54.0,0,0,0,0,0,0,2,120,1,54,512,0,2,20,0,0,0,0,0,0,0,0
